City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
94,Najran,SA,2020-04-15 22:32:38,17.49,44.13,73.4,64,1,4.7,clear sky,0.0,0
95,Georgetown,MY,2020-04-15 22:32:38,5.41,100.34,78.8,94,40,2.24,scattered clouds,0.0,0
96,Whitehorse,CA,2020-04-15 22:31:42,60.72,-135.05,51.8,62,75,4.7,broken clouds,0.0,0
97,Ribeira Grande,PT,2020-04-15 22:32:39,38.52,-28.7,55.74,70,53,21.07,light rain,0.0,0
98,Lasa,IT,2020-04-15 22:32:39,46.62,10.7,39.99,69,5,4.23,clear sky,0.0,0
99,Ancud,CL,2020-04-15 22:32:39,-41.87,-73.82,51.8,100,90,17.22,light rain,0.0,0
100,Busselton,AU,2020-04-15 22:32:39,-33.65,115.33,55.0,66,79,7.27,broken clouds,0.0,0
101,Port Hedland,AU,2020-04-15 22:32:39,-20.32,118.57,77.0,94,98,5.82,overcast clouds,0.0,0
102,West Bay,KY,2020-04-15 22:32:40,19.37,-81.42,86.0,74,20,10.29,few clouds,0.0,0
103,Upernavik,GL,2020-04-15 22:32:40,72.79,-56.15,15.64,89,61,7.18,broken clouds,0.0,0
104,Bethel,US,2020-04-15 22:32:40,41.37,-73.41,53.01,24,1,10.29,clear sky,0.0,0
105,Cidreira,BR,2020-04-15 22:32:40,-30.18,-50.21,66.99,56,59,20.49,broken clouds,0.0,0
106,Tommot,RU,2020-04-15 22:32:40,58.96,126.29,29.7,86,100,3.47,light snow,0.0,0
107,Tual,ID,2020-04-15 22:32:41,-5.67,132.75,83.08,73,53,2.68,moderate rain,0.0,0
108,Camacha,PT,2020-04-15 22:28:48,33.08,-16.33,62.6,72,20,14.99,few clouds,0.0,0
109,Horsens,DK,2020-04-15 22:32:41,55.86,9.85,44.6,93,11,13.87,few clouds,0.0,0
110,Bathsheba,BB,2020-04-15 22:32:41,13.22,-59.52,80.6,69,40,16.11,scattered clouds,0.0,0
111,Kaoma,ZM,2020-04-15 22:28:49,-14.78,24.8,65.88,63,54,1.95,broken clouds,0.0,0
112,Kerchevskiy,RU,2020-04-15 22:32:42,59.95,56.29,39.34,91,100,12.08,light rain,0.0,0
113,Qaanaaq,GL,2020-04-15 22:32:42,77.48,-69.36,6.57,88,56,1.9,broken clouds,0.0,0
114,Itarema,BR,2020-04-15 22:28:50,-2.92,-39.92,78.87,84,100,3.51,light rain,0.0,0
115,Montepuez,MZ,2020-04-15 22:32:42,-13.13,39.0,67.86,86,21,3.56,few clouds,0.0,0
116,Bahia Blanca,AR,2020-04-15 22:28:50,-38.72,-62.27,65.41,42,82,7.11,broken clouds,0.0,0
117,Vao,NC,2020-04-15 22:32:43,-22.67,167.48,74.57,74,64,15.95,broken clouds,0.0,0
118,Talagang,PK,2020-04-15 22:32:43,32.93,72.42,69.13,54,75,3.2,broken clouds,0.0,0
119,Naze,JP,2020-04-15 22:32:43,28.37,129.48,66.2,67,40,8.05,scattered clouds,0.0,0
120,Hilo,US,2020-04-15 22:32:44,19.73,-155.09,82.4,54,75,10.29,broken clouds,0.0,0
121,Hithadhoo,MV,2020-04-15 22:32:44,-0.6,73.08,84.18,73,88,9.86,moderate rain,0.0,0
122,Carnarvon,AU,2020-04-15 22:32:44,-24.87,113.63,75.2,53,90,12.75,overcast clouds,0.0,0
123,Faanui,PF,2020-04-15 22:32:44,-16.48,-151.75,83.52,66,50,8.77,scattered clouds,0.0,0
124,Ponta Do Sol,PT,2020-04-15 22:32:44,32.67,-17.1,60.8,72,40,5.82,scattered clouds,0.0,0
125,Avarua,CK,2020-04-15 22:32:45,-21.21,-159.78,82.4,65,85,10.29,overcast clouds,0.0,0
126,South Venice,US,2020-04-15 22:32:45,27.05,-82.42,87.01,88,1,11.41,haze,0.0,0
127,Torbay,CA,2020-04-15 22:32:45,47.67,-52.73,37.99,100,90,13.87,moderate rain,1.36,0
128,Aracruz,BR,2020-04-15 22:32:45,-19.82,-40.27,80.6,83,99,9.17,overcast clouds,0.0,0
129,Port Elizabeth,ZA,2020-04-15 22:32:09,-33.92,25.57,55.4,93,82,2.24,broken clouds,0.0,0
130,Barrow,US,2020-04-15 22:32:46,71.29,-156.79,21.2,85,90,17.22,overcast clouds,0.0,0
131,Airai,TL,2020-04-15 22:32:46,-8.93,125.41,62.73,76,100,1.86,light rain,0.0,0
132,Pisco,PE,2020-04-15 22:32:46,-13.7,-76.22,73.0,30,0,17.22,clear sky,0.0,0
133,Mar Del Plata,AR,2020-04-15 22:29:18,-38.0,-57.56,59.0,71,20,6.93,few clouds,0.0,0
134,Petropavlovsk-Kamchatskiy,RU,2020-04-15 22:32:46,53.05,158.65,33.8,59,100,2.24,overcast clouds,0.0,0
135,Talnakh,RU,2020-04-15 22:32:47,69.49,88.4,14.0,51,0,13.42,clear sky,0.0,0
136,Cartagena Del Chaira,CO,2020-04-15 22:32:47,1.33,-74.84,80.62,64,62,2.46,broken clouds,0.0,0
137,Vestmannaeyjar,IS,2020-04-15 22:32:47,63.44,-20.27,39.29,74,82,11.05,broken clouds,0.0,0
138,Yashan,CN,2020-04-15 22:32:47,22.2,109.94,68.0,85,100,4.76,overcast clouds,0.0,0
139,Marzuq,YE,2020-04-15 22:32:48,14.4,46.47,73.35,50,72,1.43,light rain,0.0,0
140,Bambanglipuro,ID,2020-04-15 22:32:48,-7.95,110.28,80.37,78,45,3.27,scattered clouds,0.0,0
141,Hofn,IS,2020-04-15 22:32:48,64.25,-15.21,35.42,79,36,10.07,scattered clouds,0.0,0
