City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Tanga,TZ,2020-04-14 20:12:46,-5.07,39.1,78.49,87,77,7.96
236,Bhayavadar,IN,2020-04-14 20:12:47,21.85,70.25,80.56,44,37,9.51
237,Dudinka,RU,2020-04-14 20:12:47,69.41,86.18,1.4,77,27,20.13
238,Bowen,AU,2020-04-14 20:12:47,-20.02,148.23,72.0,88,1,6.93
239,Mar Del Plata,AR,2020-04-14 20:12:11,-38.0,-57.56,63.0,67,20,23.04
240,Ferreira Do Alentejo,PT,2020-04-14 20:12:48,38.05,-8.03,59.0,82,40,13.87
241,Dingle,PH,2020-04-14 20:12:48,11.0,122.67,77.4,85,5,5.46
242,Parangan,PH,2020-04-14 20:12:48,5.08,119.94,82.36,68,1,6.51
243,Fairview,US,2020-04-14 20:12:49,40.81,-74.0,59.0,30,1,6.93
244,Coro,VE,2020-04-14 20:12:49,11.4,-69.67,83.64,59,0,20.04
245,Skibbereen,IE,2020-04-14 20:12:49,51.55,-9.27,41.0,86,20,6.93
246,Labuhan,ID,2020-04-14 20:09:02,-6.88,112.21,78.06,83,50,2.39
247,Valdivia,CL,2020-04-14 20:12:01,-39.81,-73.25,59.0,67,100,4.7
248,Lorengau,PG,2020-04-14 20:12:50,-2.02,147.27,81.45,75,97,3.02
249,Hualmay,PE,2020-04-14 20:12:50,-11.1,-77.61,76.37,66,21,9.82
250,Padron,ES,2020-04-14 20:12:50,42.74,-8.66,62.01,87,20,4.7
251,Juneau,US,2020-04-14 20:12:51,58.3,-134.42,48.2,93,75,6.93
252,Aksay,RU,2020-04-14 20:08:43,47.26,39.87,50.0,71,100,6.71
253,Ekhabi,RU,2020-04-14 20:12:51,53.51,142.97,27.28,97,100,12.37
254,Inirida,CO,2020-04-14 20:12:51,3.87,-67.92,90.97,54,82,1.14
255,Svetlaya,RU,2020-04-14 20:12:07,46.54,138.33,33.31,89,94,6.13
256,Necochea,AR,2020-04-14 20:08:50,-38.55,-58.74,62.01,73,0,8.01
257,Alim,PH,2020-04-14 20:12:52,9.56,122.49,79.52,75,0,4.61
258,Bantry,IE,2020-04-14 20:12:53,51.68,-9.45,41.0,86,20,6.93
259,Matay,EG,2020-04-14 20:12:53,28.42,30.78,67.42,34,0,12.24
260,Tiznit,MA,2020-04-14 20:12:53,29.58,-9.5,59.88,50,0,3.85
261,Zhongshan,CN,2020-04-14 20:12:53,21.32,110.58,65.25,76,94,5.01
262,Sahuaripa,MX,2020-04-14 20:11:14,29.05,-109.23,86.83,11,17,9.98
263,Bathsheba,BB,2020-04-14 20:12:54,13.22,-59.52,86.0,62,40,17.22
264,Marawi,PH,2020-04-14 20:12:54,8.0,124.29,67.08,69,11,3.11
265,Ojinaga,MX,2020-04-14 20:12:54,29.57,-104.42,77.0,20,1,4.7
266,Enshi,CN,2020-04-14 20:12:55,30.3,109.48,54.72,59,0,1.48
267,Khatanga,RU,2020-04-14 20:12:55,71.97,102.5,-5.96,90,88,4.94
268,Margate,GB,2020-04-14 20:12:55,51.38,1.39,45.0,66,1,2.24
269,Itacoatiara,BR,2020-04-14 20:12:56,-3.14,-58.44,82.2,81,60,0.4
270,Sembe,CG,2020-04-14 20:12:56,1.65,14.58,77.36,65,26,1.66
271,Turukhansk,RU,2020-04-14 20:12:56,65.82,87.98,28.62,98,99,3.67
272,Severo-Kurilsk,RU,2020-04-14 20:12:57,50.68,156.12,29.91,93,100,12.48
273,Ust-Nera,RU,2020-04-14 20:12:57,64.57,143.2,9.5,84,72,2.51
274,Yarega,RU,2020-04-14 20:12:57,63.44,53.58,32.36,91,88,5.39
275,Pochutla,MX,2020-04-14 20:12:57,15.74,-96.47,95.0,36,90,17.22
276,Manzanillo,CU,2020-04-14 20:12:58,20.34,-77.12,87.91,55,18,11.23
277,Chokurdakh,RU,2020-04-14 20:12:58,70.63,147.92,-12.05,90,1,4.99
278,Tiksi,RU,2020-04-14 20:12:58,71.69,128.87,9.52,95,100,9.91
279,Shelburne,CA,2020-04-14 20:12:58,44.08,-80.2,43.0,45,75,16.11
280,Kandrian,PG,2020-04-14 20:12:59,-6.22,149.55,78.1,85,98,1.03
281,Namibe,AO,2020-04-14 20:12:59,-15.2,12.15,74.41,69,1,5.08
282,Gizo,SB,2020-04-14 20:12:59,-8.1,156.84,83.25,76,100,3.89
283,Ullal,IN,2020-04-14 20:12:59,12.8,74.85,80.2,85,9,1.72
284,Kyenjojo,UG,2020-04-14 20:13:00,0.63,30.62,62.37,66,85,1.52
285,Jijiang,CN,2020-04-14 20:13:00,29.29,106.25,59.0,72,0,6.71
286,Brigantine,US,2020-04-14 20:13:00,39.41,-74.36,59.0,54,75,6.82
287,La Ronge,CA,2020-04-14 20:13:00,55.1,-105.28,24.8,45,75,9.17
288,Olafsvik,IS,2020-04-14 20:13:01,64.89,-23.71,38.28,75,100,23.67
289,Huainan,CN,2020-04-14 20:13:02,32.63,117.0,53.78,77,33,4.81
290,Fairbanks,US,2020-04-14 20:13:02,64.84,-147.72,42.8,60,1,8.05
291,Vuktyl,RU,2020-04-14 20:13:02,63.86,57.31,27.55,95,51,5.46
292,Bilma,NE,2020-04-14 20:13:02,18.69,12.92,86.45,11,85,9.06
293,Tabas,IR,2020-04-14 20:13:03,33.6,56.92,60.04,45,0,3.4
294,Nova Olinda Do Norte,BR,2020-04-14 20:13:03,-3.89,-59.09,79.12,86,83,0.81
295,Kargasok,RU,2020-04-14 20:13:03,59.06,80.86,34.25,96,88,6.06
296,Sao Sebastiao,BR,2020-04-14 20:13:03,-23.76,-45.41,76.62,75,100,5.93
297,Praia,CV,2020-04-14 20:13:04,14.92,-23.51,77.0,61,75,24.16
298,Port Augusta,AU,2020-04-14 20:13:04,-32.5,137.77,53.6,37,57,4.7
299,Damghan,IR,2020-04-14 20:13:04,36.17,54.35,47.75,44,39,4.38
300,Felanitx,ES,2020-04-14 20:13:05,39.47,3.15,60.8,82,75,5.82
301,Sao Joao Dos Patos,BR,2020-04-14 20:13:05,-6.5,-43.7,73.11,86,100,4.47
302,Airai,TL,2020-04-14 20:13:05,-8.93,125.41,60.4,68,86,2.3
303,Flinders,AU,2020-04-14 20:13:05,-34.58,150.86,59.0,77,36,8.05
304,Presidente Venceslau,BR,2020-04-14 20:13:06,-21.88,-51.84,72.64,77,50,4.07
305,Yumen,CN,2020-04-14 20:13:06,40.28,97.2,54.43,26,2,6.31
